,,,,,,,,,,,,,
,,,,,,,,,,,,,
Expenditure over £500,,,,,,,,,,,,,
<<For the period from 01 April 2017 to 30 June 2017>>,,,,,,,,,,,,,
,,,,,,,,,,,,,
Service Area,,Expenditure Catergory,,Expenditure Code,Description,,Paid Date,Trans No,Amount,Type of Expenditure,Supplier ID,Supplier Name,
Direct Services,,General Contracted Services,,D3401,SERVICE CHARGE,,23/05/2017,46293809 - 17,538.78,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES,
Direct Services,,General Contracted Services,,D3401,SERVICE CHARGE,,23/05/2017,46293809 - 18,625.98,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES,
Direct Services,,Postage & Carriage,,D3501,Franking Credit AC141051,,31/05/2017,46293814 - 1,500,Revenue,20009008,NEOPOST LTD RCB CREDIFON  A/C,
Direct Services,,Temporary Bureau Staffing,,A0108,,,13/06/2017,46294016 - 2,"2,361.06",Revenue,20018053,REED SPECIALIST RECRUITMENT LTD,
Direct Services,,Temporary Bureau Staffing,,A0108,,,13/06/2017,46294016 - 3,"2,187.27",Revenue,20018053,REED SPECIALIST RECRUITMENT LTD,
Direct Services,,Temporary Bureau Staffing,,A0108,,,13/06/2017,46294016 - 4,"9,056.72",Revenue,20018053,REED SPECIALIST RECRUITMENT LTD,
Direct Services,,Temporary Bureau Staffing,,A0108,,,13/06/2017,46294016 - 5,"4,316.34",Revenue,20018053,REED SPECIALIST RECRUITMENT LTD,
Direct Services,,Temporary Bureau Staffing,,A0108,,,13/06/2017,46294016 - 6,"2,085.09",Revenue,20018053,REED SPECIALIST RECRUITMENT LTD,
Direct Services,,Temporary Bureau Staffing,,A0108,,,13/06/2017,46294016 - 27,"1,748.90",Revenue,20018053,REED SPECIALIST RECRUITMENT LTD,
Direct Services,,Temporary Bureau Staffing,,A0108,,,13/06/2017,46294016 - 28,"2,472.04",Revenue,20018053,REED SPECIALIST RECRUITMENT LTD,
Direct Services,,Temporary Bureau Staffing,,A0108,,,13/06/2017,46294016 - 29,"2,173.84",Revenue,20018053,REED SPECIALIST RECRUITMENT LTD,
Direct Services,,Temporary Bureau Staffing,,A0108,,,13/06/2017,46294016 - 30,"1,318.25",Revenue,20018053,REED SPECIALIST RECRUITMENT LTD,
Direct Services,,Temporary Bureau Staffing,,A0108,,,13/06/2017,46294016 - 31,"3,992.70",Revenue,20018053,REED SPECIALIST RECRUITMENT LTD,
Direct Services,,Temporary Bureau Staffing,,A0108,,,13/06/2017,46294016 - 32,"4,218.18",Revenue,20018053,REED SPECIALIST RECRUITMENT LTD,
Direct Services,,Temporary Bureau Staffing,,A0108,,,13/06/2017,46294016 - 33,"27,698.86",Revenue,20018053,REED SPECIALIST RECRUITMENT LTD,
Direct Services,,Temporary Bureau Staffing,,A0108,,,13/06/2017,46294016 - 34,"3,383.85",Revenue,20018053,REED SPECIALIST RECRUITMENT LTD,
Direct Services,,Temporary Bureau Staffing,,A0108,,,13/06/2017,46294016 - 35,"3,457.99",Revenue,20018053,REED SPECIALIST RECRUITMENT LTD,
Direct Services,,Temporary Bureau Staffing,,A0108,,,13/06/2017,46294016 - 36,"5,355.25",Revenue,20018053,REED SPECIALIST RECRUITMENT LTD,
Direct Services,,Temporary Bureau Staffing,,A0108,,,13/06/2017,46294016 - 37,"2,831.32",Revenue,20018053,REED SPECIALIST RECRUITMENT LTD,
Direct Services,,Consultants Fees,,D3411,1 initial assessment & 2 subsequent treatments,,31/05/2017,46294052 - 1,141,Revenue,20011499,TOPS,
Direct Services,,Consultants Fees,,D3411,3 subsequent treatments,,31/05/2017,46294052 - 2,126,Revenue,20011499,TOPS,
Direct Services,,Consultants Fees,,D3411,1 initial assessment & 2 subsequent treatments,,31/05/2017,46294052 - 4,141,Revenue,20011499,TOPS,
Direct Services,,Consultants Fees,,D3411,1 subsequent treatments,,31/05/2017,46294052 - 5,42,Revenue,20011499,TOPS,
Direct Services,,Consultants Fees,,D3411,1 initial assessment,,31/05/2017,46294052 - 6,57,Revenue,20011499,TOPS,
Direct Services,,Consultants Fees,,D3411,2 subsequent treatment,,31/05/2017,46294052 - 7,84,Revenue,20011499,TOPS,
Direct Services,,Consultants Fees,,D3411,1 initial assessment &1 subsequent treatments,,31/05/2017,46294052 - 8,99,Revenue,20011499,TOPS,
Direct Services,,Consultants Fees,,D3411,2 subsequent treatments,,31/05/2017,46294052 - 9,84,Revenue,20011499,TOPS,
Direct Services,,Consultants Fees,,D3411,1 initial assessment & 3 subsequent treatments,,31/05/2017,46294052 - 10,183,Revenue,20011499,TOPS,
Direct Services,,Consultants Fees,,D3411,2 subsequent treatments,,31/05/2017,46294052 - 11,84,Revenue,20011499,TOPS,
Direct Services,,Consultants Fees,,D3411,did not attend,,31/05/2017,46294052 - 13,42,Revenue,20011499,TOPS,
Direct Services,,Consultants Fees,,D3411,"2 initial assessments, 4 subsequent treatments & 1 Theraband",,31/05/2017,46294052 - 15,285,Revenue,20011499,TOPS,
Direct Services,,General Contracted Services,,D3401,fee for professional services,,13/06/2017,46294071 - 1,"1,074.00",Revenue,20000000,GENERAL EXPENSES,
Direct Services,,Short Courses,,A0622,5 DAY MOT TRAINING COURSE MICHAEL PAIGE,,20/06/2017,46294124 - 1,635,Revenue,20000000,GENERAL EXPENSES,
Direct Services,,Vehicle Excise Licences,,C2202,Payment of Road tax at POCL,,16/06/2017,46294151 - 1,240,Revenue,20008465,POST OFFICE LTD,
Direct Services,,Vehicle Excise Licences,,C2202,Payment of Road tax at POCL,,16/06/2017,46294151 - 2,240,Revenue,20008465,POST OFFICE LTD,
Direct Services,,Vehicle Excise Licences,,C2202,Payment of Road tax at POCL,,16/06/2017,46294151 - 3,650,Revenue,20008465,POST OFFICE LTD,
Direct Services,,Vehicle Excise Licences,,C2202,Payment of Road tax at POCL,,16/06/2017,46294151 - 4,650,Revenue,20008465,POST OFFICE LTD,
Direct Services,,Vehicle Excise Licences,,C2202,Payment of Road tax at POCL,,16/06/2017,46294151 - 5,650,Revenue,20008465,POST OFFICE LTD,
Direct Services,,Vehicle Excise Licences,,C2202,Payment of Road tax at POCL,,16/06/2017,46294151 - 6,240,Revenue,20008465,POST OFFICE LTD,
Direct Services,,Vehicle Excise Licences,,C2202,Payment of Road tax at POCL,,16/06/2017,46294151 - 7,240,Revenue,20008465,POST OFFICE LTD,
Direct Services,,Vehicle Excise Licences,,C2202,Payment of Road tax at POCL,,16/06/2017,46294151 - 8,240,Revenue,20008465,POST OFFICE LTD,
Direct Services,,Vehicle Excise Licences,,C2202,Payment of Road tax at POCL,,16/06/2017,46294151 - 9,240,Revenue,20008465,POST OFFICE LTD,
Direct Services,,Vehicle Excise Licences,,C2202,Payment of Road tax at POCL,,16/06/2017,46294151 - 10,240,Revenue,20008465,POST OFFICE LTD,
Direct Services,,Vehicle Excise Licences,,C2202,Payment of Road tax at POCL,,16/06/2017,46294151 - 11,240,Revenue,20008465,POST OFFICE LTD,
Direct Services,,Vehicle Excise Licences,,C2202,Payment of Road tax at POCL,,16/06/2017,46294151 - 12,240,Revenue,20008465,POST OFFICE LTD,
Direct Services,,Vehicle Excise Licences,,C2202,Payment of Road tax at POCL,,16/06/2017,46294151 - 13,240,Revenue,20008465,POST OFFICE LTD,
Direct Services,,Vehicle Excise Licences,,C2202,Payment of Road tax at POCL,,16/06/2017,46294151 - 14,240,Revenue,20008465,POST OFFICE LTD,
Direct Services,,Vehicle Excise Licences,,C2202,Payment of Road tax at POCL,,16/06/2017,46294151 - 15,240,Revenue,20008465,POST OFFICE LTD,
Direct Services,,Services - General Fees,,K9401,Supply of Duct Panel & Vanity Unit for Oxford University,,20/06/2017,46294170 - 1,665,Revenue,20000000,GENERAL EXPENSES,
Direct Services,,Grants,,D3701,Culture Fund Payment round 1 2017/18,,20/06/2017,46294171 - 1,500,Revenue,20000019,GRANT PAYMENTS,
Direct Services,,Grants,,D3701,Culture fund payment - round 1 2017/18,,27/06/2017,46294232 - 1,"1,000.00",Revenue,20000019,GRANT PAYMENTS,
Direct Services,,Postage & Carriage,,D3501,Franking Credit a/c 141051,,27/06/2017,46294237 - 1,416.67,Revenue,20009008,NEOPOST LTD RCB CREDIFON  A/C,
Direct Services,,Materials,,D3021,Goods credited on DE 30043145,,27/06/2017,46294242 - 1,837.14,Revenue,20002168,DENNIS EAGLE LTD,
Direct Services,,Materials,,D3021,invoice to cancelcredit note C1968051882  taken 3.2.15,,27/06/2017,46294244 - 1,"1,344.00",Revenue,20002005,HANSON AGGREGATES,
Direct Services,,General Contracted Services,,D3401,Service Charge May 2017,,27/06/2017,46294283 - 1,117.99,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES,
Direct Services,,General Contracted Services,,D3401,Service Charge May 2017,,27/06/2017,46294283 - 2,60.16,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES,
Direct Services,,General Contracted Services,,D3401,Service Charge May 2017,,27/06/2017,46294283 - 3,114.96,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES,
Direct Services,,General Contracted Services,,D3401,Service Charge May 2017,,27/06/2017,46294283 - 4,172.16,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES,
Direct Services,,General Contracted Services,,D3401,Service Charge May 2017,,27/06/2017,46294283 - 5,530.36,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES,
Direct Services,,General Contracted Services,,D3401,Service Charge May 2017,,27/06/2017,46294283 - 6,314.76,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES,
Direct Services,,General Contracted Services,,D3401,Service Charge May 2017,,27/06/2017,46294283 - 7,82.96,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES,
Direct Services,,General Contracted Services,,D3401,Service Charge May 2017,,27/06/2017,46294283 - 8,415.36,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES,
Direct Services,,General Contracted Services,,D3401,Service Charge May 2017,,27/06/2017,46294283 - 9,46.36,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES,
Direct Services,,General Contracted Services,,D3401,Service Charge May 2017,,27/06/2017,46294283 - 10,290.96,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES,
Direct Services,,General Contracted Services,,D3401,Service Charge May 2017,,27/06/2017,46294283 - 11,135.16,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES,
Direct Services,,General Contracted Services,,D3401,Service Charge May 2017,,27/06/2017,46294283 - 12,425.16,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES,
Direct Services,,General Contracted Services,,D3401,Service Charge May 2017,,27/06/2017,46294283 - 13,223.16,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES,
Direct Services,,General Contracted Services,,D3401,Service Charge May 2017,,27/06/2017,46294283 - 14,84.76,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES,
Direct Services,,General Contracted Services,,D3401,Service Charge May 2017,,27/06/2017,46294283 - 15,"1,057.36",Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES,
Direct Services,,General Contracted Services,,D3401,Service Charge May 2017,,27/06/2017,46294283 - 16,489.76,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES,
Direct Services,,General Contracted Services,,D3401,Service Charge May 2017,,27/06/2017,46294283 - 17,607.94,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES,
Direct Services,,General Contracted Services,,D3401,Service Charge May 2017,,27/06/2017,46294283 - 18,699.7,Revenue,20014436,COBALT TELEPHONE TECHNOLOGIES,
Direct Services,,Consultants Fees,,D3411,1 initial assessment & 2 subsequent treatments,,27/06/2017,46294284 - 1,141,Revenue,20011499,TOPS,
Direct Services,,Consultants Fees,,D3411,3 subsequent treatments,,27/06/2017,46294284 - 2,126,Revenue,20011499,TOPS,
Direct Services,,Consultants Fees,,D3411,1 initial assessment &2 subsequent treatments,,27/06/2017,46294284 - 4,141,Revenue,20011499,TOPS,
Direct Services,,Consultants Fees,,D3411,1 subsequent treatments,,27/06/2017,46294284 - 5,42,Revenue,20011499,TOPS,
Direct Services,,Consultants Fees,,D3411,1 initial assessment,,27/06/2017,46294284 - 6,57,Revenue,20011499,TOPS,
Direct Services,,Consultants Fees,,D3411,2 subsequent treatments,,27/06/2017,46294284 - 7,84,Revenue,20011499,TOPS,
Direct Services,,Consultants Fees,,D3411,1 initial assessment & 1 subsequent treatment,,27/06/2017,46294284 - 8,99,Revenue,20011499,TOPS,
Direct Services,,Consultants Fees,,D3411,2 subsequent treatment,,27/06/2017,46294284 - 9,84,Revenue,20011499,TOPS,
Direct Services,,Consultants Fees,,D3411,1 initial assessment & 3 subsequent treatment,,27/06/2017,46294284 - 10,183,Revenue,20011499,TOPS,
Direct Services,,Consultants Fees,,D3411,2 subsequent treatment,,27/06/2017,46294284 - 11,84,Revenue,20011499,TOPS,
Direct Services,,Consultants Fees,,D3411,did not attend,,27/06/2017,46294284 - 13,20,Revenue,20011499,TOPS,
Direct Services,,Consultants Fees,,D3411,2 initial assessments & 3 subsequent treatment& 1 theraband,,27/06/2017,46294284 - 14,285,Revenue,20011499,TOPS,
Direct Services,,Electricity,,B1501,Unmetered Car Park Lighting Acc: 931528944  Electricity 02/03/17 - 03/04/17,,11/04/2017,47019078 - 0,"1,425.96",Revenue,20002402,SOUTHERN ELECTRIC PLC,
Direct Services,,Gas,,B1502,Horspath Depot Stores Building (Brown Bros) Acc: 3004980781  Gas 01/10/16 - 28/02/17,,11/04/2017,47019084 - 0,"3,112.04",Revenue,20007602,TOTAL GAS & POWER LTD,
Direct Services,,Gas,,B1502,Horspath Depot Main Building Acc: 3004980627  Gas 01/10/16 - 28/02/17,,11/04/2017,47019093 - 0,"2,727.99",Revenue,20007602,TOTAL GAS & POWER LTD,
Direct Services,,Gas,,B1502,Cowley Marsh Depot Acc: 3004980726  Gas 01/10/16 - 28/02/17,,11/04/2017,47019108 - 1,"10,057.04",Revenue,20007602,TOTAL GAS & POWER LTD,
Direct Services,,Electricity,,B1501,Horspath Depot Stores Building (Brown Bros) Acc: 851646504  Electricity 02/02/17 - 01/03/17,,19/04/2017,47019198 - 0,712.69,Revenue,20002402,SOUTHERN ELECTRIC PLC,
Direct Services,,Electricity,,B1501,Horspath Depot Stores Building (Brown Bros) Acc: 851646504  Electricity 02/01/17 - 01/02/17,,19/04/2017,47019201 - 1,810.6,Revenue,20002402,SOUTHERN ELECTRIC PLC,
Direct Services,,Gas,,B1502,Horspath Depot Stores Building (Brown Bros) Acc: 3004980781  Gas 01/03/17 - 31/03/17,,25/04/2017,47019221 - 0,707.3,Revenue,20007602,TOTAL GAS & POWER LTD,
Direct Services,,Gas,,B1502,Cowley Marsh Depot Acc: 3004980726  Gas 01/03/17 - 31/03/17,,25/04/2017,47019225 - 0,"1,354.79",Revenue,20007602,TOTAL GAS & POWER LTD,
Direct Services,,Water & Sewerage Charges,,B1830,Market Street Public Toilets Acc: TW5892280273  Water 13/12/16 - 20/02/17,,25/04/2017,47019278 - 0,586.13,Revenue,20019401,CASTLE WATER,
Direct Services,,Water & Sewerage Charges,,B1830,Horspath Depot Stores Building (Brown Bros) Acc: TW2766242168  Water 16/12/16 - 20/03/17,,09/05/2017,47019650 - 1,884.85,Revenue,20019401,CASTLE WATER,
Direct Services,,Water & Sewerage Charges,,B1830,Horspath Depot Main Building Acc: TW3829583032  Water 16/12/16 - 14/03/17,,09/05/2017,47019651 - 0,693.56,Revenue,20019401,CASTLE WATER,
Direct Services,,Water & Sewerage Charges,,B1830,Oxpens Car Park Acc: TW0993259386  Water 28/12/16 - 17/04/17,,09/05/2017,47019658 - 1,"2,522.47",Revenue,20019401,CASTLE WATER,
Direct Services,,Gas,,B1502,Cutteslowe Park Acc: 3005051720  Gas 01/10/16 - 31/03/17,,09/05/2017,47019671 - 0,"1,521.27",Revenue,20007602,TOTAL GAS & POWER LTD,
Direct Services,,Electricity,,B1501,Unmetered Car Park Lighting Acc: 931528944  Electricity 04/04/17 - 02/05/17,,16/05/2017,47019707 - 0,"1,260.68",Revenue,20002402,SOUTHERN ELECTRIC PLC,
Direct Services,,Electricity,,B1501,Horspath Athletics Pavilion Acc: KS86222C  Electricity 01/04/17 - 30/04/17,,23/05/2017,47019720 - 1,466.16,Revenue,20011411,NPOWER,
Direct Services,,Electricity,,B1501,Cowley Marsh Depot Acc: KS86222B  Electricity 01/04/17 - 30/04/17,,23/05/2017,47019721 - 0,"2,701.57",Revenue,20011411,NPOWER,
Direct Services,,Electricity,,B1501,Horspath Athletics Pavilion Acc: KS86222C  Electricity 01/03/17 - 31/03/17,,23/05/2017,47019725 - 0,858.06,Revenue,20011411,NPOWER,
Direct Services,,Electricity,,B1501,Cowley Marsh Depot Acc: KS86222B  Electricity 01/03/17 - 31/03/17,,23/05/2017,47019726 - 1,"3,284.30",Revenue,20011411,NPOWER,
Direct Services,,Electricity,,B1501,Horspath Athletics Pavilion Acc: KS86222C  Electricity 01/01/17 - 31/01/17,,23/05/2017,47019731 - 0,"1,257.61",Revenue,20011411,NPOWER,
Direct Services,,Electricity,,B1501,Cowley Marsh Depot Acc: KS86222B  Electricity 01/01/17 - 31/01/17,,23/05/2017,47019732 - 1,"3,408.54",Revenue,20011411,NPOWER,
Direct Services,,Electricity,,B1501,Horspath Athletics Pavilion Acc: KS86222C  Electricity 01/12/16 - 31/12/16,,23/05/2017,47019735 - 0,947.75,Revenue,20011411,NPOWER,
Direct Services,,Electricity,,B1501,Cowley Marsh Depot Acc: KS86222B  Electricity 01/12/16 - 31/12/16,,23/05/2017,47019736 - 0,"3,223.41",Revenue,20011411,NPOWER,
Direct Services,,Electricity,,B1501,Horspath Athletics Pavilion Acc: KS86222C  Electricity 01/10/16 - 31/10/16,,23/05/2017,47019738 - 0,"1,157.18",Revenue,20011411,NPOWER,
Direct Services,,Electricity,,B1501,Cowley Marsh Depot Acc: KS86222B  Electricity 01/10/16 - 31/10/16,,23/05/2017,47019739 - 1,"3,104.93",Revenue,20011411,NPOWER,
Direct Services,,Electricity,,B1501,Horspath Athletics Pavilion Acc: KS86222C  Electricity 01/02/17 - 28/02/17,,23/05/2017,47019744 - 0,"1,083.49",Revenue,20011411,NPOWER,
Direct Services,,Electricity,,B1501,Cowley Marsh Depot Acc: KS86222B  Electricity 01/02/17 - 28/02/17,,23/05/2017,47019745 - 1,"2,968.09",Revenue,20011411,NPOWER,
Direct Services,,Electricity,,B1501,Horspath Athletics Pavilion Acc: KS86222C  Electricity 01/11/16 - 30/11/16,,23/05/2017,47019750 - 0,"1,358.35",Revenue,20011411,NPOWER,
Direct Services,,Electricity,,B1501,Cowley Marsh Depot Acc: KS86222B  Electricity 01/11/16 - 30/11/16,,23/05/2017,47019751 - 1,"3,249.82",Revenue,20011411,NPOWER,
Direct Services,,Gas,,B1502,Cowley Marsh Depot Acc: 3004980726  Gas 01/04/17 - 30/04/17,,23/05/2017,47019763 - 1,910.71,Revenue,20007602,TOTAL GAS & POWER LTD,
Direct Services,,Gas,,B1502,Horspath Depot Stores Building (Brown Bros) Acc: 3004980781  Gas 28/02/17 - 30/04/17,,23/05/2017,47019771 - 0,"1,296.46",Revenue,20007602,TOTAL GAS & POWER LTD,
Direct Services,,Electricity,,B1501,Gloucester Green Security Office Acc: 041525736  Electricity 28/01/17 - 03/05/17,,23/05/2017,47019809 - 1,749.83,Revenue,20002402,SOUTHERN ELECTRIC PLC,
Direct Services,,Electricity,,B1501,Gloucester Green Public Toilets & Pump Room Acc: 431525884  Electricity 04/02/17 - 03/05/17,,23/05/2017,47019812 - 0,"3,253.16",Revenue,20002402,SOUTHERN ELECTRIC PLC,
Direct Services,,Electricity,,B1501,Cutteslowe Park Workshop & Yard Acc: 691527524  Electricity 17/01/17 - 24/04/17,,23/05/2017,47019818 - 0,"3,036.03",Revenue,20002402,SOUTHERN ELECTRIC PLC,
Direct Services,,Electricity,,B1501,Horspath Depot Stores Building (Brown Bros) Acc: 851646504  Electricity 02/03/17 - 01/04/17,,23/05/2017,47019844 - 1,753.15,Revenue,20002402,SOUTHERN ELECTRIC PLC,
Direct Services,,Electricity,,B1501,Cutteslowe Lower Sports Pavilion Acc: 791528072  Electricity 05/11/16 - 16/01/17,,23/05/2017,47019847 - 0,441.9,Revenue,20002402,SOUTHERN ELECTRIC PLC,
Direct Services,,Electricity,,B1501,Cutteslowe Upper Sports Pavilion Acc: 591526061  Electricity 17/01/17 - 24/04/17,,23/05/2017,47019852 - 1,844.21,Revenue,20002402,SOUTHERN ELECTRIC PLC,
Direct Services,,Electricity,,B1501,Cutteslowe Park Offices Acc: 701526629  Electricity 17/01/17 - 24/04/17,,23/05/2017,47019853 - 0,894.26,Revenue,20002402,SOUTHERN ELECTRIC PLC,
Direct Services,,Electricity,,B1501,Market Street Public Toilets Acc: 761526400  Electricity 14/01/17 - 13/04/17,,23/05/2017,47019863 - 1,470.22,Revenue,20002402,SOUTHERN ELECTRIC PLC,
Direct Services,,Water & Sewerage Charges,,B1830,Market Street Public Toilets Acc: TW5892280273  Water 13/12/16 - 20/02/17,,31/05/2017,47020010 - 1,975.65,Revenue,20019401,CASTLE WATER,
Direct Services,,Water & Sewerage Charges,,B1830,Horspath Athletics Pavilion Acc: TW4903150474  Water 16/12/16 - 12/05/17,,31/05/2017,47020068 - 0,"8,851.92",Revenue,20019401,CASTLE WATER,
Direct Services,,Water & Sewerage Charges,,B1830,Magdalen Street Female Public Toilets Acc: TW9890560496  Water 05/12/16 - 11/05/17,,31/05/2017,47020070 - 0,"1,022.01",Revenue,20019401,CASTLE WATER,
Direct Services,,Electricity,,B1501,Unmetered Car Park Lighting Acc: 931528944  Electricity 04/04/17 - 02/05/17,,31/05/2017,47020074 - 0,"1,260.68",Revenue,20002402,SOUTHERN ELECTRIC PLC,
Direct Services,,Electricity,,B1501,Unmetered Car Park Lighting Acc: 931528944  Electricity 02/03/17 - 03/04/17,,31/05/2017,47020076 - 0,"1,432.75",Revenue,20002402,SOUTHERN ELECTRIC PLC,
Direct Services,,Electricity,,B1501,Unmetered Car Park Lighting Acc: 931528944  Electricity 03/05/17 - 01/06/17,,13/06/2017,47020096 - 0,"1,303.93",Revenue,20002402,SOUTHERN ELECTRIC PLC,
Direct Services,,Water & Sewerage Charges,,B1830,Cutteslowe Park Acc: TW8712579094  Water 06/02/17 - 13/05/17,,13/06/2017,47020101 - 1,961.62,Revenue,20019401,CASTLE WATER,
Direct Services,,Electricity,,B1501,Oxpens Car Park Acc: 291525711  Electricity 07/02/17 - 10/05/17,,20/06/2017,47020121 - 1,"1,810.14",Revenue,20002402,SOUTHERN ELECTRIC PLC,
Direct Services,,Electricity,,B1501,Oxpens Car Park Offices Acc: 411622181  Electricity 07/02/17 - 10/05/17,,20/06/2017,47020123 - 1,767.93,Revenue,20002402,SOUTHERN ELECTRIC PLC,
Direct Services,,Electricity,,B1501,Gloucester Green Bus Station Acc: 251526430  Electricity 04/02/17 - 03/05/17,,20/06/2017,47020129 - 1,"1,338.44",Revenue,20002402,SOUTHERN ELECTRIC PLC,
Direct Services,,Electricity,,B1501,Horspath Depot Stores Building (Brown Bros) Acc: 851646504  Electricity 02/04/17 - 01/05/17,,20/06/2017,47020150 - 1,650.66,Revenue,20002402,SOUTHERN ELECTRIC PLC,
Direct Services,,Gas,,B1502,Oxpens Car Park Offices Acc: 451677660  Gas 07/02/17 - 10/05/17,,20/06/2017,47020158 - 0,"1,624.09",Revenue,20002402,SOUTHERN ELECTRIC PLC,
Direct Services,,Electricity,,B1501,Horspath Athletics Pavilion Acc: KS86222C  Electricity 01/05/17 - 31/05/17,,20/06/2017,47020171 - 1,431.76,Revenue,20011411,NPOWER,
Direct Services,,Electricity,,B1501,Cowley Marsh Depot Acc: KS86222B  Electricity 01/05/17 - 31/05/17,,20/06/2017,47020172 - 0,"2,888.82",Revenue,20011411,NPOWER,
Direct Services,,Gas,,B1502,Cowley Marsh Depot Acc: 3004980726  Gas 01/05/17 - 31/05/17,,20/06/2017,47020182 - 0,761.3,Revenue,20007602,TOTAL GAS & POWER LTD,
Direct Services,,Water & Sewerage Charges,,B1830,Cowley Marsh Depot Acc: 1191095067  Water 24/02/17 - 02/04/17,,20/06/2017,47020226 - 1,878.84,Revenue,20002423,THAMES WATER UTILITIES LTD,
Direct Services,,Water & Sewerage Charges,,B1830,Cowley Marsh Depot Acc: 1191095067  Water 24/02/17 - 31/03/17,,20/06/2017,47020227 - 0,835.83,Revenue,20002423,THAMES WATER UTILITIES LTD,
Direct Services,,General Contracted Services,,D3401,PO1095                   | 20313,,04/04/2017,47990027 - 1,447.54,Revenue,20007968,IMPERIAL GARAGE EQUIPMENT,
Direct Services,,Materials,,D3021,SO00008205               | OXF79625,,04/04/2017,47990056 - 1,445.93,Revenue,20003127,AMLUC LTD T/AS PIRTEK OXFORD,
Direct Services,,Materials,,D3021,SO00008203               | OXF79626,,04/04/2017,47990057 - 0,510.5,Revenue,20003127,AMLUC LTD T/AS PIRTEK OXFORD,
Direct Services,,Vehicle Purchase,,C2001,PO1069                   | 10118827,,04/04/2017,47990061 - 0,"16,213.16",Revenue,20019531,MOTORLINE NISSAN OXFORD,
Direct Services,,Main Contractor,,Y021,PO879-1                  | 1044,,04/04/2017,47990062 - 1,"15,155.55",Capital,20002134,HARTWELL FORD KIDLINGTON,
Direct Services,,Main Contractor,,Y021,PO879-1                  | 1044,,04/04/2017,47990062 - 2,285,Capital,20002134,HARTWELL FORD KIDLINGTON,
Direct Services,,Main Contractor,,Y021,PO879-1                  | 1044,,04/04/2017,47990062 - 3,"3,297.04",Capital,20002134,HARTWELL FORD KIDLINGTON,
Direct Services,,Main Contractor,,Y021,PO879-1                  | 1045,,04/04/2017,47990063 - 0,"17,430.55",Capital,20002134,HARTWELL FORD KIDLINGTON,
Direct Services,,Main Contractor,,Y021,PO879-1                  | 1045,,04/04/2017,47990063 - 1,285,Capital,20002134,HARTWELL FORD KIDLINGTON,
Direct Services,,Main Contractor,,Y021,PO879-1                  | 1045,,04/04/2017,47990063 - 2,"3,480.17",Capital,20002134,HARTWELL FORD KIDLINGTON,
Direct Services,,Main Contractor,,Y021,PO879-1                  | 1046,,04/04/2017,47990064 - 1,"17,430.55",Capital,20002134,HARTWELL FORD KIDLINGTON,
Direct Services,,Main Contractor,,Y021,PO879-1                  | 1046,,04/04/2017,47990064 - 2,285,Capital,20002134,HARTWELL FORD KIDLINGTON,
Direct Services,,Main Contractor,,Y021,PO879-1                  | 1046,,04/04/2017,47990064 - 3,"2,893.37",Capital,20002134,HARTWELL FORD KIDLINGTON,
Direct Services,,Main Contractor,,Y021,PO879-1                  | 1047,,04/04/2017,47990065 - 0,"18,791.20",Capital,20002134,HARTWELL FORD KIDLINGTON,
Direct Services,,Main Contractor,,Y021,PO879-1                  | 1047,,04/04/2017,47990065 - 1,285,Capital,20002134,HARTWELL FORD KIDLINGTON,
Direct Services,,Main Contractor,,Y021,PO879-1                  | 1047,,04/04/2017,47990065 - 2,"3,907.71",Capital,20002134,HARTWELL FORD KIDLINGTON,
Direct Services,,Main Contractor,,Y021,PO879-1                  | 1048,,04/04/2017,47990066 - 1,"15,600.55",Capital,20002134,HARTWELL FORD KIDLINGTON,
Direct Services,,Main Contractor,,Y021,PO879-1                  | 1048,,04/04/2017,47990066 - 2,285,Capital,20002134,HARTWELL FORD KIDLINGTON,
Direct Services,,Main Contractor,,Y021,PO879-1                  | 1048,,04/04/2017,47990066 - 3,"3,871.20",Capital,20002134,HARTWELL FORD KIDLINGTON,
Direct Services,,Main Contractor,,Y021,PO684                    | 1059,,04/04/2017,47990068 - 1,"14,662.80",Capital,20002134,HARTWELL FORD KIDLINGTON,
Direct Services,,Main Contractor,,Y021,PO684                    | 1059,,04/04/2017,47990068 - 2,"7,114.72",Capital,20002134,HARTWELL FORD KIDLINGTON,
