Month,Year,Area,Topic,Transaction,Telephone or Face to Face,Online,,,,,,,,,,,,,,,,,,,,,
October,2016,Oxford City Homes,Repairs to Homes,Existing Rep Enq (Not appointed_case),1,,,,,,,,,,,,,,,,,,,,,,
October,2016,Planning & Building Control,Planning,Callback request - pre-app advice,1,,,,,,,,,,,,,,,,,,,,,,
October,2016,Planning & Building Control,Planning,Callback request - specific officer,1,,,,,,,,,,,,,,,,,,,,,,
October,2016,Planning & Building Control,Planning,Callback request - app info required advice,1,,,,,,,,,,,,,,,,,,,,,,
October,2016,Planning & Building Control,Planning,Callback request - planning fee query,1,,,,,,,,,,,,,,,,,,,,,,
October,2016,"Recycling, Waste,Street Services,Private Drainage",Campaigns,Blue Bin Premier League Pledge (App),1,,,,,,,,,,,,,,,,,,,,,,
October,2016,"Recycling, Waste,Street Services,Private Drainage",Street Services,Bus Shelters,1,3,,,,,,,,,,,,,,,,,,,,,
November,2016,Oxford City Homes,Repairs to Homes,Repairs Routine Work Order - Servitor Case,1331,66,,,,,,,,,,,,,,,,,,,,,
November,2016,Oxford City Homes,Repairs to Homes,Repairs Emergency Work Order - Servitor Case,1269,,,,,,,,,,,,,,,,,,,,,,
November,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling Collections,Bulky Waste Collections,1059,,,,,,,,,,,,,,,,,,,,,,
November,2016,"Council Tenants,Leaseholders,Housing Needs,Garages",Tenancy Services,Rent Query,989,3,,,,,,,,,,,,,,,,,,,,,
November,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling - container and other queries,Request for Information,718,,,,,,,,,,,,,,,,,,,,,,
November,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Payments and Balance Query,694,,,,,,,,,,,,,,,,,,,,,,
November,2016,Oxford City Homes,Gas,Gas Service Booked - Standard Wrap Up,564,,,,,,,,,,,,,,,,,,,,,,
November,2016,City Works,Garden Waste,Renewal Bins - DD - Payment by BACS,556,,,,,,,,,,,,,,,,,,,,,,
November,2016,"Benefits, Council Tax, Business Rates",Benefits - Assessment and Other Queries,Assessment Query,537,,,,,,,,,,,,,,,,,,,,,,
November,2016,"Council Tenants,Leaseholders,Housing Needs,Garages",Tenancy Services,Tenancy Query,495,,,,,,,,,,,,,,,,,,,,,,
November,2016,Oxford City Homes,Repairs to Homes,Repairs - appointment confirmed,442,,,,,,,,,,,,,,,,,,,,,,
November,2016,"Pest, Noise, Dog Warden, Licensing, Food Safety",Pest Control Treatment,Pest Control Treatment,408,,,,,,,,,,,,,,,,,,,,,,
November,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Payment Made,378,2492,,,,,,,,,,,,,,,,,,,,,
November,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Any Other Query,341,,,,,,,,,,,,,,,,,,,,,,
November,2016,"Benefits, Council Tax, Business Rates",Benefits - Change in Circumstances,Change in Circs,476,38,,,,,,,,,,,,,,,,,,,,,
November,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Refund Request,288,,,,,,,,,,,,,,,,,,,,,,
November,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling Collections,Automated Missed Bin Service - Automated Phone,268,,,,,,,,,,,,,,,,,,,,,,
November,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling Collections,Missed Collection,239,95,,,,,,,,,,,,,,,,,,,,,
November,2016,"Benefits, Council Tax, Business Rates",Council Tax Discounts and Exemptions,Student discount / exemption application,235,452,,,,,,,,,,,,,,,,,,,,,
November,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Recovery Action,222,,,,,,,,,,,,,,,,,,,,,,
November,2016,"Benefits, Council Tax, Business Rates",Benefits - Assessment and Other Queries,Payment Query,200,,,,,,,,,,,,,,,,,,,,,,
November,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling - container and other queries,Containers,198,,,,,,,,,,,,,,,,,,,,,,
November,2016,"Benefits, Council Tax, Business Rates",Council Tax Moves,Move out of a property,192,192,,,,,,,,,,,,,,,,,,,,,
November,2016,Law and Governance,Electoral Services,Elections Query,165,,,,,,,,,,,,,,,,,,,,,,
November,2016,Oxford City Homes,Repairs to Homes,ExistingRepEnq(not done-Prov info),156,,,,,,,,,,,,,,,,,,,,,,
November,2016,"Recycling, Waste,Street Services,Private Drainage",Street Services,Other Services,142,58,,,,,,,,,,,,,,,,,,,,,
November,2016,Planning and Building Control,Planning,Existing Applications,139,,,,,,,,,,,,,,,,,,,,,,
November,2016,"Benefits, Council Tax, Business Rates",Benefits - Assessment and Other Queries,Chasing Progress,138,,,,,,,,,,,,,,,,,,,,,,
November,2016,Oxford City Homes,Repairs to Homes,ExistingRepEnq(AppointmentChanged),130,,,,,,,,,,,,,,,,,,,,,,
November,2016,"Recycling, Waste,Street Services,Private Drainage",Street Services,Highways,124,8,,,,,,,,,,,,,,,,,,,,,
November,2016,3Cs reports,3Cs Reports,3Cs Reports,400,172,,,,,,,,,,,,,,,,,,,,,
November,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling - container and other queries,Other Enquiry,104,,,,,,,,,,,,,,,,,,,,,,
November,2016,"Benefits, Council Tax, Business Rates",Council Tax Moves,Move into a property,100,198,,,,,,,,,,,,,,,,,,,,,
November,2016,"Recycling, Waste,Street Services,Private Drainage",Street Services,"Street Clean/ LeafSweep/ Verge, Shrub Cut",99,41,,,,,,,,,,,,,,,,,,,,,
November,2016,Anti-Social Behaviour,Anti-Social Behaviour,Report of Anti-Social Behaviour,92,,,,,,,,,,,,,,,,,,,,,,
November,2016,Oxford City Homes,Repairs to Homes,Repairs Routine Work Order - Servitor Case Quick,90,,,,,,,,,,,,,,,,,,,,,,
November,2016,"Benefits, Council Tax, Business Rates",Council Tax Discounts and Exemptions,Single Person Discount,87,89,,,,,,,,,,,,,,,,,,,,,
November,2016,"Benefits, Council Tax, Business Rates",Benefits - Assessment and Other Queries,Overpayments,84,,,,,,,,,,,,,,,,,,,,,,
November,2016,City Works,Garden Waste,Garden Waste Renewal,132,57,,,,,,,,,,,,,,,,,,,,,
November,2016,City Works,Garden Waste,Garden Waste - Callback Request,80,,,,,,,,,,,,,,,,,,,,,,
November,2016,"Benefits, Council Tax, Business Rates",Business Rates,General Query,79,,,,,,,,,,,,,,,,,,,,,,
November,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Payment Method Change,77,209,,,,,,,,,,,,,,,,,,,,,
November,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling Collections,Automated Missed Bin Service - Bail Out,69,,,,,,,,,,,,,,,,,,,,,,
November,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling - container and other queries,Swap Container,66,,,,,,,,,,,,,,,,,,,,,,
November,2016,City Works,Garden Waste,Unsubscribe,57,1,,,,,,,,,,,,,,,,,,,,,
November,2016,City Works,Garden Waste,Customer Updating Payment Method to DD,48,26,,,,,,,,,,,,,,,,,,,,,
November,2016,"Benefits, Council Tax, Business Rates",Benefits - New Claims,New Application for HB / CTB,46,260,,,,,,,,,,,,,,,,,,,,,
November,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling - container and other queries,Cancel Worksheet,42,,,,,,,,,,,,,,,,,,,,,,
November,2016,"Benefits, Council Tax, Business Rates",Business Rates,Payments / Copy Bill,42,2,,,,,,,,,,,,,,,,,,,,,
November,2016,"Benefits, Council Tax, Business Rates",Council Tax Discounts and Exemptions,Empty Property Query,36,15,,,,,,,,,,,,,,,,,,,,,
November,2016,"Benefits, Council Tax, Business Rates",Council Tax Moves,Error Correction,33,,,,,,,,,,,,,,,,,,,,,,
November,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling - container and other queries,Damaged Container,33,,,,,,,,,,,,,,,,,,,,,,
November,2016,Planning and Building Control,Planning,Duty Officer,30,,,,,,,,,,,,,,,,,,,,,,
November,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Copy Bill,30,,,,,,,,,,,,,,,,,,,,,,
November,2016,"Pest, Noise, Dog Warden, Licensing, Food Safety",Dog Warden,Lost / Found / Stray / Stolen Dog,30,11,,,,,,,,,,,,,,,,,,,,,
November,2016,City Works,Garden Waste,Garden Waste Scheme - Query Resolved,28,,,,,,,,,,,,,,,,,,,,,,
November,2016,"Recycling, Waste,Street Services,Private Drainage",Street Services,Abandoned Item,32,92,,,,,,,,,,,,,,,,,,,,,
November,2016,"Benefits, Council Tax, Business Rates",Council Tax Discounts and Exemptions,Other Exemptions Query,27,3,,,,,,,,,,,,,,,,,,,,,
November,2016,"Benefits, Council Tax, Business Rates",Business Rates,Reliefs,26,,,,,,,,,,,,,,,,,,,,,,
November,2016,Oxford City Homes,Repairs to Homes,Electricity Advice,25,,,,,,,,,,,,,,,,,,,,,,
November,2016,"Recycling, Waste,Street Services,Private Drainage",Street Services,Drainage,25,10,,,,,,,,,,,,,,,,,,,,,
November,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling Collections,Assisted Collections,23,,,,,,,,,,,,,,,,,,,,,,
November,2016,Planning and Building Control,Planning,New Applications,22,,,,,,,,,,,,,,,,,,,,,,
November,2016,City Works,Garden Waste,New Subscriber,45,41,,,,,,,,,,,,,,,,,,,,,
November,2016,"Benefits, Council Tax, Business Rates",Benefits - Assessment and Other Queries,Appointment Query,17,,,,,,,,,,,,,,,,,,,,,,
November,2016,Oxford City Homes,Repairs to Homes,ExistingRepEnq(work not finished-Prov Info),15,,,,,,,,,,,,,,,,,,,,,,
November,2016,"Pest, Noise, Dog Warden, Licensing, Food Safety",Other Services,Callback Request,14,,,,,,,,,,,,,,,,,,,,,,
November,2016,"Benefits, Council Tax, Business Rates",Council Tax Discounts and Exemptions,Disregard Discount Query,13,2,,,,,,,,,,,,,,,,,,,,,
November,2016,Oxford City Homes,Repairs to Homes,Water Advice,13,,,,,,,,,,,,,,,,,,,,,,
November,2016,"Benefits, Council Tax, Business Rates",Business Rates,Move Out Of A Property,13,3,,,,,,,,,,,,,,,,,,,,,
November,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Report of Death,13,1,,,,,,,,,,,,,,,,,,,,,
November,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Update Name / Forwarding Address,13,,,,,,,,,,,,,,,,,,,,,,
November,2016,Planning and Building Control,Planning,Enforcement,12,13,,,,,,,,,,,,,,,,,,,,,
November,2016,Environmental development,Fixed Penalty Notices,Fixed Penalty Notices,12,3,,,,,,,,,,,,,,,,,,,,,
November,2016,"Pest, Noise, Dog Warden, Licensing, Food Safety",Dog Warden,Other Dog Query,11,,,,,,,,,,,,,,,,,,,,,,
November,2016,Oxford City Homes,Repairs to Homes,Rechargeable repair - emergency,11,,,,,,,,,,,,,,,,,,,,,,
November,2016,"Recycling, Waste,Street Services,Private Drainage",Street Services,Sharps,14,3,,,,,,,,,,,,,,,,,,,,,
November,2016,Oxford City Homes,Repairs to Homes,Existing Rep Enq (cancellation),11,,,,,,,,,,,,,,,,,,,,,,
November,2016,Oxford City Homes,Repairs to Homes,Keys_and_Locks(ProvInfo),11,,,,,,,,,,,,,,,,,,,,,,
November,2016,Oxford City Homes,Repairs to Homes,Gas Advice,11,,,,,,,,,,,,,,,,,,,,,,
November,2016,Planning & Building Control,Planning,Callback request - consultation query,10,,,,,,,,,,,,,,,,,,,,,,
November,2016,Oxford City Homes,Repairs to Homes,ExistingRepEnq(follow on work-Prov Info),10,,,,,,,,,,,,,,,,,,,,,,
November,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling Collections,Clinical Waste Collection,9,,,,,,,,,,,,,,,,,,,,,,
November,2016,Planning and Building Control,Planning,Trees,9,,,,,,,,,,,,,,,,,,,,,,
November,2016,Planning and Building Control,Planning,Building Control,9,,,,,,,,,,,,,,,,,,,,,,
November,2016,Oxford City Homes,Repairs to Homes,Recharge form issued - NFA until returned,7,,,,,,,,,,,,,,,,,,,,,,
November,2016,"Benefits, Council Tax, Business Rates",Council Tax Discounts and Exemptions,Do I Qualify As A Student,7,,,,,,,,,,,,,,,,,,,,,,
November,2016,Planning and Building Control,Planning,Listed Buildings; Conservation Area; TPO's; A4D,7,,,,,,,,,,,,,,,,,,,,,,
November,2016,Oxford City Homes,Repairs to Homes,ExistingRepEnq(not to standard-Prov Info),6,,,,,,,,,,,,,,,,,,,,,,
November,2016,Oxford City Homes,Repairs to Homes,Repairs - Tenant Responsible,6,,,,,,,,,,,,,,,,,,,,,,
November,2016,City Works,Garden Waste,Garden Waste - Existing Subscription at Address,5,,,,,,,,,,,,,,,,,,,,,,
November,2016,"Benefits, Council Tax, Business Rates",Council Tax Discounts and Exemptions,Exemption / Discount Cancellation,5,,,,,,,,,,,,,,,,,,,,,,
November,2016,"Recycling, Waste,Street Services,Private Drainage",Street Services,Dead Animals,6,5,,,,,,,,,,,,,,,,,,,,,
November,2016,Planning and Building Control,Planning,Do I Require Planning Permission?,5,,,,,,,,,,,,,,,,,,,,,,
November,2016,"Recycling, Waste,Street Services,Private Drainage",Street Services,Bus Shelters,5,5,,,,,,,,,,,,,,,,,,,,,
November,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Banding Query,5,,,,,,,,,,,,,,,,,,,,,,
November,2016,Oxford City Homes,Repairs to Homes,Repairs Exemption (Posted Form),5,0,,,,,,,,,,,,,,,,,,,,,
November,2016,"Benefits, Council Tax, Business Rates",Benefits - New Claims,Handing in Documents,4,,,,,,,,,,,,,,,,,,,,,,
November,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling - container and other queries,Enforcement,4,,,,,,,,,,,,,,,,,,,,,,
November,2016,"Pest, Noise, Dog Warden, Licensing, Food Safety",Fixed Penalty Notices,Fixed Penalty Notices,4,,,,,,,,,,,,,,,,,,,,,,
November,2016,"Benefits, Council Tax, Business Rates",Benefits - Assessment and Other Queries,Universal Credit,4,,,,,,,,,,,,,,,,,,,,,,
November,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling Collections,Trade Waste,4,,,,,,,,,,,,,,,,,,,,,,
November,2016,"Benefits, Council Tax, Business Rates",Benefits - New Claims,Discretionary Housing Payments,4,,,,,,,,,,,,,,,,,,,,,,
November,2016,Oxford City Homes,Caretaking (1142),Communal repair - passed to Caretaker,4,,,,,,,,,,,,,,,,,,,,,,
November,2016,City Works,Garden Waste,Paper Based Compostable Sacks,5,8,,,,,,,,,,,,,,,,,,,,,
November,2016,"Benefits, Council Tax, Business Rates",Council Tax Discounts and Exemptions,Error Correction (discounts / exemptions),4,,,,,,,,,,,,,,,,,,,,,,
November,2016,"Benefits, Council Tax, Business Rates",Benefits - Assessment and Other Queries,Landlord Schedule,4,,,,,,,,,,,,,,,,,,,,,,
November,2016,City Works,Garden Waste,Customer Reactivating Subscription,4,,,,,,,,,,,,,,,,,,,,,,
November,2016,Planning and Building Control,Planning,Boundary Disputes / High Hedges,3,,,,,,,,,,,,,,,,,,,,,,
November,2016,Oxford City Homes,Gas,Gas Leak Reported,3,,,,,,,,,,,,,,,,,,,,,,
November,2016,"Benefits, Council Tax, Business Rates",Business Rates,Move Into A Property,3,4,,,,,,,,,,,,,,,,,,,,,
November,2016,"Recycling, Waste,Street Services,Private Drainage",Street Services,Public Toilets,3,0,,,,,,,,,,,,,,,,,,,,,
November,2016,"Benefits, Council Tax, Business Rates",Council Tax Discounts and Exemptions,Severely Mentally Impaired,3,,,,,,,,,,,,,,,,,,,,,,
November,2016,"Benefits, Council Tax, Business Rates",Benefits - Assessment and Other Queries,Benefit Referred to Website,3,,,,,,,,,,,,,,,,,,,,,,
November,2016,Oxford City Homes,Repairs to Homes,New Build Defects Report,2,,,,,,,,,,,,,,,,,,,,,,
November,2016,"Benefits, Council Tax, Business Rates",Business Rates,Connect Issue,2,,,,,,,,,,,,,,,,,,,,,,
November,2016,"Recycling, Waste,Street Services,Private Drainage",Street Services,Animal Fouling,9,13,,,,,,,,,,,,,,,,,,,,,
November,2016,Grants,Community Grants,Open Bidding Grant Application,2,,,,,,,,,,,,,,,,,,,,,,
November,2016,"Benefits, Council Tax, Business Rates",Benefits - Assessment and Other Queries,Fraud Referral,2,1,,,,,,,,,,,,,,,,,,,,,
November,2016,Oxford City Homes,OCH Garden Scheme Enquiry,Garden Scheme Enquiry,2,,,,,,,,,,,,,,,,,,,,,,
November,2016,Oxford City Homes,Repairs to Homes,Existing rep Enq (Recall_case),2,,,,,,,,,,,,,,,,,,,,,,
November,2016,Business Development,Change Requests,Council Tax,1,,,,,,,,,,,,,,,,,,,,,,
November,2016,Planning & Building Control,Planning,Callback request - pre-app advice,1,,,,,,,,,,,,,,,,,,,,,,
November,2016,"Recycling, Waste,Street Services,Private Drainage",Street Services,Car Parks,1,,,,,,,,,,,,,,,,,,,,,,
November,2016,Oxford City Homes,Repairs to Homes,Existing Rep Enq (Not appointed_case),1,,,,,,,,,,,,,,,,,,,,,,
November,2016,Oxford City Homes,Repairs to Homes,Not OCC Property,1,,,,,,,,,,,,,,,,,,,,,,
November,2016,Planning & Building Control,Planning,Callback request - specific officer,1,,,,,,,,,,,,,,,,,,,,,,
November,2016,"Benefits, Council Tax, Business Rates",Benefits - New Claims,Claim for Second Adult Rebate,1,,,,,,,,,,,,,,,,,,,,,,
November,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Connect Query,1,,,,,,,,,,,,,,,,,,,,,,
November,2016,Grants,Community Grants,Small Grant Application,1,,,,,,,,,,,,,,,,,,,,,,
November,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Update Name / Forwarding Address,13,,,,,,,,,,,,,,,,,,,,,,
December,2016,Oxford City Homes,Repairs to Homes,Repairs Emergency Work Order - Servitor Case,1062,,,,,,,,,,,,,,,,,,,,,,
December,2016,Oxford City Homes,Repairs to Homes,Repairs Routine Work Order - Servitor Case,1010,75,,,,,,,,,,,,,,,,,,,,,
December,2016,"Council Tenants,Leaseholders,Housing Needs,Garages",Tenancy Services,Rent Query,670,1,,,,,,,,,,,,,,,,,,,,,
December,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling Collections,Bulky Waste Collections,615,,,,,,,,,,,,,,,,,,,,,,
December,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Payments and Balance Query,611,,,,,,,,,,,,,,,,,,,,,,
December,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling - container and other queries,Request for Information,591,,,,,,,,,,,,,,,,,,,,,,
December,2016,"Benefits, Council Tax, Business Rates",Benefits - Assessment and Other Queries,Assessment Query,446,,,,,,,,,,,,,,,,,,,,,,
December,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Payment Made,397,2589,,,,,,,,,,,,,,,,,,,,,
December,2016,Oxford City Homes,Gas,Gas Service Booked - Standard Wrap Up,359,,,,,,,,,,,,,,,,,,,,,,
December,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Any Other Query,339,,,,,,,,,,,,,,,,,,,,,,
December,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling Collections,Automated Missed Bin Service - Automated Phone,304,,,,,,,,,,,,,,,,,,,,,,
December,2016,City Works,Garden Waste,Renewal Bins - DD - Payment by BACS,291,,,,,,,,,,,,,,,,,,,,,,
December,2016,Oxford City Homes,Repairs to Homes,Repairs - appointment confirmed,277,,,,,,,,,,,,,,,,,,,,,,
December,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Refund Request,245,,,,,,,,,,,,,,,,,,,,,,
December,2016,"Pest, Noise, Dog Warden, Licensing, Food Safety",Pest Control Treatment,Pest Control Treatment,235,,,,,,,,,,,,,,,,,,,,,,
December,2016,"Council Tenants,Leaseholders,Housing Needs,Garages",Tenancy Services,Tenancy Query,232,,,,,,,,,,,,,,,,,,,,,,
December,2016,"Benefits, Council Tax, Business Rates",Benefits - Change in Circumstances,Change in Circs,344,28,,,,,,,,,,,,,,,,,,,,,
December,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling Collections,Missed Collection,221,121,,,,,,,,,,,,,,,,,,,,,
December,2016,"Benefits, Council Tax, Business Rates",Benefits - Assessment and Other Queries,Payment Query,163,,,,,,,,,,,,,,,,,,,,,,
December,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Recovery Action,158,,,,,,,,,,,,,,,,,,,,,,
December,2016,"Benefits, Council Tax, Business Rates",Council Tax Moves,Move out of a property,141,182,,,,,,,,,,,,,,,,,,,,,
December,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling - container and other queries,Containers,138,,,,,,,,,,,,,,,,,,,,,,
December,2016,Oxford City Homes,Repairs to Homes,Repairs Routine Work Order - Servitor Case Quick,130,,,,,,,,,,,,,,,,,,,,,,
December,2016,Oxford City Homes,Repairs to Homes,ExistingRepEnq(not done-Prov info),118,,,,,,,,,,,,,,,,,,,,,,
December,2016,"Benefits, Council Tax, Business Rates",Benefits - Assessment and Other Queries,Chasing Progress,113,,,,,,,,,,,,,,,,,,,,,,
December,2016,"Benefits, Council Tax, Business Rates",Council Tax Discounts and Exemptions,Student discount / exemption application,110,135,,,,,,,,,,,,,,,,,,,,,
December,2016,"Recycling, Waste,Street Services,Private Drainage",Street Services,Highways,103,20,,,,,,,,,,,,,,,,,,,,,
December,2016,"Recycling, Waste,Street Services,Private Drainage",Street Services,Other Services,100,50,,,,,,,,,,,,,,,,,,,,,
December,2016,Law and Governance,Electoral Services,Elections Query,88,,,,,,,,,,,,,,,,,,,,,,
December,2016,Anti-Social Behaviour,Anti-Social Behaviour,Report of Anti-Social Behaviour,84,,,,,,,,,,,,,,,,,,,,,,
December,2016,3Cs Reports,3Cs Reports,3Cs Reports,320,138,,,,,,,,,,,,,,,,,,,,,
December,2016,Planning and Building Control,Planning,Existing Applications,79,,,,,,,,,,,,,,,,,,,,,,
December,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling - container and other queries,Other Enquiry,79,,,,,,,,,,,,,,,,,,,,,,
December,2016,"Benefits, Council Tax, Business Rates",Council Tax Moves,Move into a property,74,168,,,,,,,,,,,,,,,,,,,,,
December,2016,"Benefits, Council Tax, Business Rates",Benefits - Assessment and Other Queries,Overpayments,67,,,,,,,,,,,,,,,,,,,,,,
December,2016,Oxford City Homes,Repairs to Homes,ExistingRepEnq(AppointmentChanged),65,,,,,,,,,,,,,,,,,,,,,,
December,2016,"Benefits, Council Tax, Business Rates",Business Rates,General Query,61,,,,,,,,,,,,,,,,,,,,,,
December,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling Collections,Automated Missed Bin Service - Bail Out,61,,,,,,,,,,,,,,,,,,,,,,
December,2016,"Benefits, Council Tax, Business Rates",Council Tax Discounts and Exemptions,Single Person Discount,61,61,,,,,,,,,,,,,,,,,,,,,
December,2016,City Works,Garden Waste,Garden Waste - Callback Request,55,,,,,,,,,,,,,,,,,,,,,,
December,2016,"Recycling, Waste,Street Services,Private Drainage",Street Services,"Street Clean/ LeafSweep/ Verge, Shrub Cut",44,34,,,,,,,,,,,,,,,,,,,,,
December,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling Collections,Missed Recycling Collection (Web),,40,,,,,,,,,,,,,,,,,,,,,
December,2016,City Works,Garden Waste,Garden Waste Renewal,51,23,,,,,,,,,,,,,,,,,,,,,
December,2016,City Works,Garden Waste,Garden Waste Scheme - Query Resolved,31,,,,,,,,,,,,,,,,,,,,,,
December,2016,"Benefits, Council Tax, Business Rates",Council Tax Discounts and Exemptions,Empty Property Query,31,15,,,,,,,,,,,,,,,,,,,,,
December,2016,City Works,Garden Waste,Unsubscribe,31,0,,,,,,,,,,,,,,,,,,,,,
December,2016,"Benefits, Council Tax, Business Rates",Business Rates,Payments / Copy Bill,30,3,,,,,,,,,,,,,,,,,,,,,
December,2016,"Benefits, Council Tax, Business Rates",Benefits - New Claims,New Application for HB / CTB,28,179,,,,,,,,,,,,,,,,,,,,,
December,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling - container and other queries,Cancel Worksheet,27,,,,,,,,,,,,,,,,,,,,,,
December,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling - container and other queries,Swap Container,26,,,,,,,,,,,,,,,,,,,,,,
December,2016,"Benefits, Council Tax, Business Rates",Council Tax Discounts and Exemptions,Do I Qualify As A Student,25,,,,,,,,,,,,,,,,,,,,,,
December,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling Collections,Clinical Waste Collection,24,,,,,,,,,,,,,,,,,,,,,,
December,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Payment Method Change,24,166,,,,,,,,,,,,,,,,,,,,,
December,2016,"Pest, Noise, Dog Warden, Licensing, Food Safety",Dog Warden,Lost / Found / Stray / Stolen Dog,23,6,,,,,,,,,,,,,,,,,,,,,
December,2016,"Benefits, Council Tax, Business Rates",Business Rates,Reliefs,23,,,,,,,,,,,,,,,,,,,,,,
December,2016,Oxford City Homes,Repairs to Homes,Keys_and_Locks(ProvInfo),22,,,,,,,,,,,,,,,,,,,,,,
December,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling - container and other queries,Damaged Container,21,,,,,,,,,,,,,,,,,,,,,,
December,2016,"Recycling, Waste,Street Services,Private Drainage",Street Services,Abandoned Item,21,41,,,,,,,,,,,,,,,,,,,,,
December,2016,Oxford City Homes,Repairs to Homes,Electricity Advice,20,,,,,,,,,,,,,,,,,,,,,,
December,2016,Oxford City Homes,Repairs to Homes,Gas Advice,19,,,,,,,,,,,,,,,,,,,,,,
December,2016,"Recycling, Waste,Street Services,Private Drainage",Waste and Recycling Collections,Assisted Collections,17,,,,,,,,,,,,,,,,,,,,,,
December,2016,"Benefits, Council Tax, Business Rates",Council Tax - Payments / Other Queries,Copy Bill,17,,,,,,,,,,,,,,,,,,,,,,
December,2016,"Benefits, Council Tax, Business Rates",Council Tax Moves,Error Correction,16,,,,,,,,,,,,,,,,,,,,,,
December,2016,Oxford City Homes,Repairs to Homes,ExistingRepEnq(work not finished-Prov Info),15,,,,,,,,,,,,,,,,,,,,,,
December,2016,"Benefits, Council Tax, Business Rates",Business Rates,Move Out Of A Property,14,4,,,,,,,,,,,,,,,,,,,,,
December,2016,City Works,Garden Waste,Customer Reactivating Subscription,14,,,,,,,,,,,,,,,,,,,,,,
December,2016,"Recycling, Waste,Street Services,Private Drainage",Street Services,Sharps,13,10,,,,,,,,,,,,,,,,,,,,,
December,2016,"Benefits, Council Tax, Business Rates",Council Tax Discounts and Exemptions,Other Exemptions Query,13,2,,,,,,,,,,,,,,,,,,,,,
December,2016,"Pest, Noise, Dog Warden, Licensing, Food Safety",Other Services,Callback Request,12,,,,,,,,,,,,,,,,,,,,,,
December,2016,Planning and Building Control,Planning,New Applications,12,,,,,,,,,,,,,,,,,,,,,,
December,2016,Planning and Building Control,Planning,Building Control,11,,,,,,,,,,,,,,,,,,,,,,
December,2016,City Works,Garden Waste,New Subscriber,21,10,,,,,,,,,,,,,,,,,,,,,
December,2016,"Pest, Noise, Dog Warden, Licensing, Food Safety",Dog Warden,Other Dog Query,10,,,,,,,,,,,,,,,,,,,,,,
December,2016,"Benefits, Council Tax, Business Rates",Benefits - Assessment and Other Queries,Appointment Query,10,,,,,,,,,,,,,,,,,,,,,,
December,2016,Oxford City Homes,Repairs to Homes,Water Advice,10,,,,,,,,,,,,,,,,,,,,,,
December,2016,City Works,Garden Waste,Customer Updating Payment Method to DD,8,8,,,,,,,,,,,,,,,,,,,,,
