Block Address,Job Number,Description of repairs,Date Job Raised, Price to Charge (£) ,No of Flats, Charge per flat (£) ,
322-332 EVEN IFFLEY ROAD,08917872,"PROVIDE AND FIT ALTRO RELIANCE 25 SHEET FLOORING TO COMMUNAL AREAS AS PER MANUFACTURES RECOMMENDATIONS, SPECIFICATIONS AND QUOTE - KENNINGTON FLOORING",15/02/2017," 1,500.00 ",6, 250.00 ,
28-55 DRUCE WAY,08432401,PLS ATTEND TO LIGHT OUT AT BIN STORE,22/06/2016, 33.76 ,28, 1.21 ,
28-55 DRUCE WAY,08432427,PLS ATTEND TO BROKEN GATE ON MIDDLE STAIR WELL,22/06/2016, 5.73 ,28, 0.20 ,
28-55 DRUCE WAY,08432443,PLS ATTD TO SMALL MISSING DRAIN COVER OUTSIDE FLAT 28,22/06/2016, 21.26 ,28, 0.76 ,
28-55 DRUCE WAY,08771036, REPLACE APPROX 6M TIMBER HANDRAIL TO COMMUNAL STAIRS BY 41. ICTURE ATTACHED TO INSPECTION 087723499 - ,06/12/2016, 578.15 ,28, 20.65 ,
111-114 FERRY HINKSEY ROAD,08838368,REPAIR/REPLACE QUARRY TILE SKIRTING TO COMMUNAL HALLWAY NEXT TO FLAT 111. PICTURES ATTACHED TO INSPECTION ,11/01/2017, 94.28 ,4, 23.57 ,
119-127 FERRY HINKSEY ROAD,08366157,2 MAN AND LADDER REQUIRED - M REPORTED THERE ARE NO LIGHTS WORKING ANY WHERE IN THE BLOCK OR THE CAR PARK,16/05/2016, 167.48 ,9, 18.61 ,
119-127 FERRY HINKSEY ROAD,08383008,APP WED 22ND JUNE PM AA AND SD UNABLE TO DRS AS REPORTED BY  EO PLS ATTEND AND CHANGE LIGHT BULB IN THE GARDEN AREA IT IS TOO HIGH FOR EO TO CHANGE (MATERIALS ON ORDER) 2 MAN JOB 3HRS PLUS LADDERS,25/05/2016," 1,019.53 ",9, 113.28 ,
85-139 ODD FIELD AVENUE,08385130,"PLEASE ATTEND TO MDIDLE COMMUNAL LIGHT AT 111 FIELD AVENUE, OPERATIVE CAME BEFORE AND CHECKED THEM ALL, BUT ONE STILL BROKEN.",26/05/2016, 65.86 ,28, 2.35 ,
85-139 ODD FIELD AVENUE,08442417,PLS ATTEND TNT REPORTS WHERE THE HOLE IS ON THE BALCONY THERE IS A SMALL PIPE ON BALCONY OF 113 THAT DRAINS AWAY WATER FROM THE BALCONY THIS PIPE NEEDS FIXING ,27/06/2016, 110.30 ,28, 3.94 ,
85-139 ODD FIELD AVENUE,08467645,"PLEASE CLEAR DRAINAGE IN THE FRRONT GARDEN,",12/07/2016, 15.44 ,28, 0.55 ,
85-139 ODD FIELD AVENUE,08562991,REPAIR L/LORD LIGHT BELOW FLAT 139 ESTATE OFFICER UNABLE TO REACH EXTERNAL BUT GETS DARK,05/09/2016, 28.00 ,28, 1.00 ,
85-139 ODD FIELD AVENUE,08985556,ACROPOL/FLASH BAND REPAIR TO WALKWAY OUTIDE NUMBER 133 ,16/03/2017, 69.46 ,28, 2.48 ,
85-139 ODD FIELD AVENUE,08988320,GUTTERING HAS FALLEN DOWN OUTSIDE FLAT 105 AND IS ON THE GROUND.  ,20/03/2017, 11.12 ,28, 0.40 ,
225-247 ODD FIELD AVENUE,08493604,NONE OF THE TNTS KEYS FIT THE LOCK ON THE BIN STORE AND THE RUBBISH IS BUIKDING UP OUTSIDE.,25/07/2016, 21.18 ,12, 1.77 ,
1-11 ODD FRIARS WHARF,08291277,ELECTRICAL INSPECTION  TEST TO ODD 1-31 COMMUNAL AREA THURSDAY 7TH,06/04/2016, 130.00 ,6, 21.67 ,
1-11 ODD FRIARS WHARF,08786290,LIGHT ON GROUND FLOOR FLICKERING. EO UNABLE TO REACH TO CHECK/REPAIR. LIGHT ON TOP FLOOR HAS BEEN CHANGED RECENTLY BUT STILL NW.,14/12/2016, 32.67 ,6, 5.45 ,
1-11 ODD FRIARS WHARF,08851307,PLS ATTEND COMMUNAL LIGHT ON SECOND FLOOR - NOT WORKING (MAY REQ NEW FITTING - REF 08786290),17/01/2017, 91.93 ,6, 15.32 ,
1-11 ODD FRIARS WHARF,08968593,"FAULTY LIGHT FIXTURE OUTSIDE THE RUBBUSH SHOOT, ON THE STAIORCASE BETWEEN BLOCKS 1-11 AND 3-23",08/03/2017, 52.22 ,6, 8.70 ,
13-23 ODD FRIARS WHARF,08327264,E/O NOTIFIED BULB OUT IN CEILING ON SECOND FLOOR OF BLOCK. TOO HIGH FOR HIS EQUIPMENT AND 2 MAN JOB (HE ADVISES- FOR SAFETY),27/04/2016, 162.54 ,6, 27.09 ,
13-23 ODD FRIARS WHARF,08416234,2 MAN JOB - PLEASE REPLACE COMPLETE FITTING BULKHEAD WITH LP9 LAMPS - REF I.H.,13/06/2016, 214.81 ,6, 35.80 ,
13-23 ODD FRIARS WHARF,08657202,ELECTRICAL REMEDIAL AND INSTALL SOCKET ONTO METER SUPPLY NO.1-23 FRIARS WHARF,18/10/2016," 1,176.01 ",6, 196.00 ,
13-23 ODD FRIARS WHARF,08759771,PB00048 - ELECTRICAL REMEDIAL WORK TO BE CARRIED OUT - KEY SWITCH - PLEASE CALL xxxx TO ASK ABOUT FURTHER WIORKS - APPOINTMENT 5/12/2016 8-9AM,01/12/2016, 274.86 ,6, 45.81 ,
13-23 ODD FRIARS WHARF,08931847,"REFERENCE  EO, PLEASE ATTEND TO DOOR IN BIN STORE, WON'T CLOSE",22/02/2017, 6.61 ,6, 1.10 ,
38-66 EVEN FRIARS WHARF,08575180,"PLEASE ATTEND DOWNPIPE FROM GUTTERING, HAS BECOME DETACHED FROM WALL AND RAINWATER LEAKING DOWN",12/09/2016, 75.02 ,15, 5.00 ,
38-66 EVEN FRIARS WHARF,08952907,ELECTRICAL WORKS,01/03/2017, 137.52 ,15, 9.17 ,
38-66 EVEN FRIARS WHARF,08964719,ELECTRICAL ALTERATIONS TO DOOR ENTRY SUPPLY,07/03/2017, 350.00 ,15, 23.33 ,
25-55 ODD FURLONG CLOSE,08610847,"PLS INSPECT THE AREAL, TNT  REPORTED TV NOT WORKING",27/09/2016, 194.18 ,16, 12.14 ,
25-55 ODD FURLONG CLOSE,08633365,"REPORTED TELEVISION RECEPTION POOR, GHR WERE UNABLE TO LOCATE AERIALS ON LAST VISIT 08610847. ",07/10/2016, 49.97 ,16, 3.12 ,
25-55 ODD FURLONG CLOSE,08677406,PLEASE ATTEND TO LOCK ON WOODEN GATE LEADING TO ALLEYWAY IN THE BLOCK. LEADING UNDER THE BRIDGE. LOCK HAS BUSTED. COMMUNAL LOCK.,25/10/2016, 38.83 ,16, 2.43 ,
25-55 ODD FURLONG CLOSE,09007466,"ELECTRIC CUPBOARD DOOR IS NOT SHUTTING IN BUILDING, PLEASE ATTEND",28/03/2017, 24.10 ,16, 1.51 ,
1-7A ODD GIRDLESTONE ROAD,08602020,PLEASE ATTEND TO COMMUNAL LIGHTS OUTSIDE ROW OF SHOPS TIMER NEEDS ADJUSTING AS NOT COMING ON ,22/09/2016, 7.26 ,4, 1.82 ,
1-7A ODD GIRDLESTONE ROAD,08719638,TRACE LOSS OF SUPPLY TO COMMUNAL LIGHTS TO BLOCK.,15/11/2016, 30.10 ,4, 7.53 ,
1-7A ODD GIRDLESTONE ROAD,08738880,2 MEN REQUIRED + 6 TREAD STEP LADDER - PLEASE INVESTIGATE LOSS OF SUPPLY TO BLOCK - REF G.M.,23/11/2016, 320.48 ,4, 80.12 ,
9-19 ODD GIRDLESTONE ROAD,08395526, - PLEASE SEAL TO WATER STAIN TO HALLWAY/BEDROOM - ,31/05/2016, 20.11 ,6, 3.35 ,
9-19 ODD GIRDLESTONE ROAD,08581127,CARRY OUT EMERGENCY LIGHTING TO BLOCK - ,14/09/2016," 1,500.00 ",6, 250.00 ,
50-54 EVEN GLADSTONE ROAD,08580951,PLEASE ATTEND TO CLEAR THE GUTTERING AT THIS BLOCK WITH PARTICULAR ATTENSION TO GUTTERS ABOVE 52 AND 54,14/09/2016, 69.72 ,3, 23.24 ,
10-13 GOOSE GREEN CLOSE,08435176,ELECTRICAL INSPECTION TO COMMUNAL AREA 10-17 BLOCK,24/06/2016, 130.00 ,4, 32.50 ,
10-13 GOOSE GREEN CLOSE,08446738,ELECTRICAL REMEDIAL WORK TO COMMUNAL AREA 10-17 FOLLOWING PIE REPORT,29/06/2016, 850.91 ,4, 212.73 ,
10-13 GOOSE GREEN CLOSE,08548137,ELECTRICAL REMEDIAL WORK FOLLOWING PIR  COMMUNAL AREA.,25/08/2016, 267.93 ,4, 66.98 ,
10-13 GOOSE GREEN CLOSE,08574493,OVER FLOWING DRAIN OUTSIDE FLATS 10-13,12/09/2016, 26.91 ,4, 6.73 ,
10-13 GOOSE GREEN CLOSE,08617057,JETTER TO JET THE DRAINS IT IIS REPORTED THAT THE DRAIN TO THE SIDE OF THE BLOCK ARE OVERFLOWING CALL OUT 29/9/16,29/09/2016, 187.50 ,4, 46.88 ,
10-13 GOOSE GREEN CLOSE,08645445,"PM - MAN HOLE OUTSIDE, REQUIRES RE-RENDERING.",13/10/2016, 58.86 ,4, 14.72 ,
2-12 EVEN GRANGE ROAD,08990538,PM - SUPPLY AND FIT BOW TOP FENCING,20/03/2017," 1,500.00 ",6, 250.00 ,
55-60 HAWKSMOOR ROAD,08511308,HA - EXTERNAL PAINTING AND REPAINT JOINERY CONTRACT CS389110. VISIT ALL FLATS  CHERWELL WARD,04/08/2016," 1,500.00 ",6, 250.00 ,
55-60 HAWKSMOOR ROAD,08573128,CARRY OUT EMERGENCY LIGHTING TO BLOCK AS PER QUOTE - B THOMPSON,09/09/2016," 1,500.00 ",6, 250.00 ,
55-60 HAWKSMOOR ROAD,08849566,PLEASE CLEAN OUT MOSS TO GULLY ON PORCH ENTRANCE- ACROPOL AFTER - REF R.H.,16/01/2017, 49.40 ,6, 8.23 ,
55-60 HAWKSMOOR ROAD,08973252,LOFT INSULATION COMMUNAL HATCH,10/03/2017, 348.75 ,6, 58.13 ,
13-18 HAWKSMOOR ROAD,08315689,MEASURE AND REPLACE EXTERNAL FLUSH DOOR TO BIN STORE - REF D.C.,20/04/2016, 448.81 ,6, 74.80 ,
13-18 HAWKSMOOR ROAD,08315861,PLEASE CLEAR GULLY AND REPLACE GULLY GRILL AT SHEDS 7-18 - REF D.C.,20/04/2016, 43.24 ,6, 7.21 ,
13-18 HAWKSMOOR ROAD,08509765,HA - EXTERNAL PAINTING AND REPAINT JOINERY CONTRACT CS389110.   CHERWELL WARD,03/08/2016," 1,500.00 ",6, 250.00 ,
13-18 HAWKSMOOR ROAD,08571575,CARRY OUT EMERGENCY LIGHTING TO BLOCK INCLUDING ALSO BLOCK 19-24 AS PER QUOTE ,09/09/2016," 1,500.00 ",6, 250.00 ,
13-18 HAWKSMOOR ROAD,08849511,PLEASE CLEAN OUT MOSS TO GULLY ON PORCH ENTRANCE- ACROPOL AFTER - REF R.H.,16/01/2017, 385.39 ,6, 64.23 ,
13-18 HAWKSMOOR ROAD,08967921,110533  REPLACE THE LID TO THE CWST ENSURE IT HAS A LID VENT,08/03/2017, 41.74 ,6, 6.96 ,
13-18 HAWKSMOOR ROAD,08973195,LOFT INSULATION COMMUNAL BLOCK,10/03/2017, 93.64 ,6, 15.61 ,
7-12 HAWKSMOOR ROAD,08315650,REPLACE FLB SHED DOOR - TEAK -  BLOCK 7-18 - REF D.C.,20/04/2016, 332.54 ,6, 55.42 ,
7-12 HAWKSMOOR ROAD,08315717,PLEASE MEASURE AND REPLACE EXTERNAL FLUSH DOOR TO BIN STORE - FRONT OF BLOCK - REF D.C.,20/04/2016, 316.57 ,6, 52.76 ,
7-12 HAWKSMOOR ROAD,08315861,PLEASE CLEAR GULLY AND REPLACE GULLY GRILL AT SHEDS 7-18 - REF D.C.,20/04/2016, 43.24 ,6, 7.21 ,
7-12 HAWKSMOOR ROAD,08476117,F/O - DOOR TO COMMUNAL BIN AREA JAMMED - REF NTCO MN.,18/07/2016, 13.24 ,6, 2.21 ,
7-12 HAWKSMOOR ROAD,08509695,HA - EXTERNAL PAINTING AND REPAINT JOINERY CONTRACT CS389110.   CHERWELL WARD,03/08/2016," 1,500.00 ",6, 250.00 ,
7-12 HAWKSMOOR ROAD,08573157,CARRY OUT EMERGENCY LIGHTING TO BLOCK AS PER QUOTE - ,09/09/2016," 1,500.00 ",6, 250.00 ,
7-12 HAWKSMOOR ROAD,08787271,S/F SITE SPECIFIC SIGNAGE TO CONFORM TO CURRENT FIRE REGULATIONS R.WEBB,14/12/2016, 74.74 ,6, 12.46 ,
7-12 HAWKSMOOR ROAD,08844628,"PLEASE ATTEND COMUNAL BIN AREA DOOR NOT OPENING, JAMMED SHUT WITH NO ACCESS.",13/01/2017, 25.15 ,6, 4.19 ,
7-12 HAWKSMOOR ROAD,08844644,PLEASE ATTEND GATE IN COMMUNAL GARDEN IS ONLY UNLOCKABLE FROM INSIDE THE GARDEN AND NOT THE PUBLIC HIGHWAY SIDE.,13/01/2017, 37.51 ,6, 6.25 ,
7-12 HAWKSMOOR ROAD,08849496,PLEASE CLEAN OUT MOSS TO GULLY ON PORCH ENTRANCE- ACROPOL AFTER - REF R.H.,16/01/2017, 128.92 ,6, 21.49 ,
7-12 HAWKSMOOR ROAD,08973182,LOFT INSULATION COMMUNAL HATCH,10/03/2017, 93.64 ,6, 15.61 ,
19-24 HAWKSMOOR ROAD,08315621,PLEASE MEASURE AND REPLACE FLUSH EXTERNAL DOOR TO BIN STORE - REF D.C.,20/04/2016, 401.98 ,6, 67.00 ,
19-24 HAWKSMOOR ROAD,08458595,"HANDLE N/W TO BIN STORE, NEW DOOR FITTED ON JOB 08315621",06/07/2016, 61.78 ,6, 10.30 ,
19-24 HAWKSMOOR ROAD,08509781,HA - EXTERNAL PAINTING AND REPAINT JOINERY CONTRACT CS389110. VISIT ALL FLATS  CHERWELL WARD,03/08/2016," 1,500.00 ",6, 250.00 ,
19-24 HAWKSMOOR ROAD,08788632,S/F SITE SPECIFIC SIGNAGE TO CONFORM TO CURRENT FIRE REGULATIONS  ,14/12/2016, 210.66 ,6, 35.11 ,
19-24 HAWKSMOOR ROAD,08849524,PLEASE CLEAN OUT MOSS TO GULLY ON PORCH ENTRANCE- ACROPOL AFTER - REF R.H.,16/01/2017, 224.55 ,6, 37.43 ,
19-24 HAWKSMOOR ROAD,08973207,LOFT INSULATION COMMUNAL HATCH,10/03/2017, 93.64 ,6, 15.61 ,
13-23 ODD HEATH CLOSE,08581185,CARRY OUT EMERGENCY LIGHTING TO BLOCK - ,14/09/2016," 1,500.00 ",6, 250.00 ,
2-12 EVEN HIGH CROSS WAY,08581239,CARRY OUT EMERGENCY LIGHTING TO BLOCK - ,14/09/2016," 1,500.00 ",6, 250.00 ,
1-4 HILL TOP COURT,08896289,PLS ATTEND TO BLOCKS REAR ENTERANCE DOOR AS IT IS NOT SECURING. NOT BAYDALE,06/02/2017, 37.51 ,4, 9.38 ,
1-4 HILL TOP COURT,08993807,"REAR COMMUNAL DOOR TO BLOCK NOT SECURE, CAN BE OPENED BY ANY CARD. NOT BAYDALE.",21/03/2017, 42.44 ,4, 10.61 ,
42-99 HOCKMORE TOWER,08276911,OVERHAUL RERA DOOR FIRE EXIT ,01/04/2016, 20.35 ,58, 0.35 ,
42-99 HOCKMORE TOWER,08303020,VPS - PUMP ROOM - HIRE OF ALARM & PIRS - CONTINUATION OF JOB 07733635,13/04/2016," 2,357.56 ",58, 40.65 ,
42-99 HOCKMORE TOWER,08312716,HA-CONTRACT-BS389110-FOR THE INSPECTION AND MAINTENANCE OF WATER BOOSTING EQUIPMENT (FOR 3 MONTHS ONLY),19/04/2016, 169.00 ,58, 2.91 ,
42-99 HOCKMORE TOWER,08321316,LIGHTS OUT 2ND FLOOR ,22/04/2016, 94.68 ,58, 1.63 ,
42-99 HOCKMORE TOWER,08364405,PROLEC TO CARRY OUR ELECTRICAL  REMEDIAL  WORK,13/05/2016," 4,807.00 ",58, 82.88 ,
42-99 HOCKMORE TOWER,08377214,AS REPORTED BY  EO PLS ATTEND AND FIX LOCK TO THE ELECTRICAL CUPBOARD HAS BEEN BROKEN INTO IT IS ON THE 3RD DOOR ON RIGHT HAND SIDE AS YOU GO THROUGH MAIN DOOR,23/05/2016, 46.43 ,58, 0.80 ,
42-99 HOCKMORE TOWER,08412070,PLEASE GAIN ENTRY TO 2ND FLOOR CUPBOARD BY REAR DOOR - CHANGE LOCK FOR EZZB - REF SC/DC,09/06/2016, 60.44 ,58, 1.04 ,
42-99 HOCKMORE TOWER,08412083,PLEASE GAIN ENTRY TO GLAZED DOOR ON ROOF BY TELEPHONE CABINET - REPLACE LOCK FOR EZZB - REF SC/DC,09/06/2016, 115.25 ,58, 1.99 ,
42-99 HOCKMORE TOWER,08412504,PLEASE E&A DOOR TO PUMP ROOM - REHANG TWO DOORS ON THE ROOF AREA WHICH ARE HANGING OFF - REF SC/DC,09/06/2016, 41.03 ,58, 0.71 ,
42-99 HOCKMORE TOWER,08444099,"PLS ATTEND TO NO LIGHTS IN ANY OF THE BIN STORE CUPBOARDS - ON ALL FLOORS, HAVE BEEN OUT FOR A COUPLE OF DAYS",27/06/2016, 177.98 ,58, 3.07 ,
42-99 HOCKMORE TOWER,08455804,(CARETAKER) LIGHT NOT WORKING FROM 5TH TO 2ND FLOOR CARETAKER SAID HE WOULD MEET THE OPERATIVE TO EXPLAIN.,04/07/2016, 117.29 ,58, 2.02 ,
42-99 HOCKMORE TOWER,08457189,INVESTIGATE LIGHTS IN REFUSE CHUTE CUPBOARDS.  FLOORS 2 TO 5.  REF CARETAKER ,05/07/2016, 39.93 ,58, 0.69 ,
42-99 HOCKMORE TOWER,08468543,LEAKING COMING FROM ABOVE HOCKSMORE TOWER ,12/07/2016, 105.46 ,58, 1.82 ,
42-99 HOCKMORE TOWER,08471394,"INVESTIGATE LIGHTS IN REFUSE CHUTE CUPBOARD FLOORS 2 TO 5, REF CARETAKER REPORTED THIS ISSUE.",13/07/2016, 81.92 ,58, 1.41 ,
42-99 HOCKMORE TOWER,08508049,HA-CONTRACT-BS389110-FOR THE INSPECTION AND MAINTENANCE OF WATER BOOSTING EQUIPMENT,03/08/2016, 290.33 ,58, 5.01 ,
42-99 HOCKMORE TOWER,08520630,PROLEC TO CARRY OUR ELECTRICAL  REMEDIAL  WORK,10/08/2016," 4,545.84 ",58, 78.38 ,
42-99 HOCKMORE TOWER,08523785,NTCO C/O DE - LEAK GOING INTO FEEL FIT GYM - FROM TOWER BLOCK - REF N.K.,11/08/2016, 91.92 ,58, 1.58 ,
42-99 HOCKMORE TOWER,08526054,INVESTIGATE LEAK INTO FEELFIT GYM,15/08/2016, 36.41 ,58, 0.63 ,
42-99 HOCKMORE TOWER,08546724,PLEASE REPAIR ALL SOCKETS IN THE ELECTRIC CUPBOARD- NOT WORKING.,24/08/2016, 160.91 ,58, 2.77 ,
42-99 HOCKMORE TOWER,08573285,RFUSE CHUTE ON LEVEL 4 - COMPLETELY BLOCKED,09/09/2016, 115.07 ,58, 1.98 ,
42-99 HOCKMORE TOWER,08617581,IVESTIGE COAUSE OF LEAK INTO PREMISES BELOW,30/09/2016, 953.19 ,58, 16.43 ,
42-99 HOCKMORE TOWER,08625142,REPLACE LEAKING PIPEWORK,04/10/2016," 2,117.59 ",58, 36.51 ,
42-99 HOCKMORE TOWER,08649120,"RE EATON ENVIRONMENTAL, TO ANALYSE WATER SAMPLE AND PROVIDE REPORT",17/10/2016, 123.41 ,58, 2.13 ,
42-99 HOCKMORE TOWER,08686754,4TH FLOOR INVESTIGATE LEAK IN SERVICE DUCT,31/10/2016, 370.64 ,58, 6.39 ,
42-99 HOCKMORE TOWER,08689908,PLUMBER TO INVESTIGATE CAUSE OF LEAK IN SERVICE DUCT ON 4TH FLOOR. REF M.P/S.B.,01/11/2016, 3.71 ,58, 0.06 ,
42-99 HOCKMORE TOWER,08691286,"ADVISED TO RAISE. POSSIBLE ISSUE WITH OCC PIPES, CONNECTION IN MAIN STACK AND IRON STACK. REPORTED . PLEASE CALL FOR ACCESS AND SEE NOTE FOR EXTRA INFO",01/11/2016, 50.96 ,58, 0.88 ,
42-99 HOCKMORE TOWER,08724425,TRACE AND REPAIR LEAK FROM COMMUNAL METER CUPBOARD -,16/11/2016, 28.15 ,58, 0.49 ,
42-99 HOCKMORE TOWER,08726487,LEAK IN GYM FROM HOCKMORE TOWER ,17/11/2016, 90.82 ,58, 1.57 ,
42-99 HOCKMORE TOWER,08728618,"1ST FLOOR LANDING (FLATS 42-49 ) LIGHTS NEED REPAIRING, NOT WORKING, ALSO DANGLING OFF THE CEILING, BE CAREFUL",18/11/2016, 29.55 ,58, 0.51 ,
42-99 HOCKMORE TOWER,08732862,PLEASE ATTEND TO UNDERGROUND CAR PARK METAL SHUTTERS NOT OPENING OR CLOSING WITH FOB OR MANUALLY. CONTAINS 3-4 PARKING SPACES. MAY ALSO BE PART OF POUND HOUSE,21/11/2016, 93.85 ,58, 1.62 ,
42-99 HOCKMORE TOWER,08741727,2 MEN 2 HOURS TO TRAVE- NO SWITCHED SUPPLY TO MAINTAINED LIGHT FITTING. REF G.M.,24/11/2016, 112.52 ,58, 1.94 ,
42-99 HOCKMORE TOWER,08744319,INVESTIGATE LOSS OF SUPPLY TO LIGHTS IN BIN CHUTES AREAS - REF SD,25/11/2016, 59.22 ,58, 1.02 ,
42-99 HOCKMORE TOWER,08755294,LEAK COMING IN GYM REPORTED BY TSQ CENTRE MANAGMENT OX,29/11/2016, 91.92 ,58, 1.58 ,
42-99 HOCKMORE TOWER,08756600,CARRY OUT FIRE RETARDANT WORKS TO ENTRANCE FRAMES TO ALL FLATS IN HOCKMORE TOWER,30/11/2016," 8,550.00 ",58, 147.41 ,
42-99 HOCKMORE TOWER,08775427,MATS IN STORES - 2 MEN 1H - REPLACE MAINTAINED EMERGENCY FITTING ON STAIRS 1ST HALF LANDING - REF RU,08/12/2016, 169.65 ,58, 2.93 ,
42-99 HOCKMORE TOWER,08781381,"F/O - ATTEND WATER LEAK INTO FEELFIT GYM, HAPPENED 10/11/16 WHEN RAINING. - REF SB NTCO",12/12/2016, 69.72 ,58, 1.20 ,
42-99 HOCKMORE TOWER,08781691,NTCO C/O SB - CHECK FOR LEAK INTO FEEL FIT GYM - REF C.W.,10/12/2016, 91.92 ,58, 1.58 ,
42-99 HOCKMORE TOWER,08792084,SECURE LIGHT HANGING OFF THE WALL- COMMUNAL AREA,16/12/2016, 20.39 ,58, 0.35 ,
42-99 HOCKMORE TOWER,08816128,PLEASE ATTEND GLASS IN STAIRCASE / HALL FIRE DOOR HAS BEEN SMASHED. ,30/12/2016, 33.10 ,58, 0.57 ,
42-99 HOCKMORE TOWER,08817138,REPORTED BY (EO) - ONE GLASS FIRE DOOR HAS BEEN REPORTED ALREADY - 08816128 - THERE ARE 2 BROKEN FIRE DOOR GLASS - ONE ON 2ND FLOOR GLASS SMASHED AND ONE ON GROUND LEVEL 2ND MAIN DOOR GLASS SMASHED - NOT SURE WHICH ONE WAS RAISED PLEASE ATTEND,03/01/2017, 22.95 ,58, 0.40 ,
42-99 HOCKMORE TOWER,08824916,GLAZIER TO REPLACE GLASS TO FIREDOOR. REF IF/DC,05/01/2017, 228.99 ,58, 3.95 ,
42-99 HOCKMORE TOWER,08837936,INSPECT SERVICE DUCTS FOR CAUSE OF LEAK INTO GYM BELOW,11/01/2017, 52.42 ,58, 0.90 ,
42-99 HOCKMORE TOWER,08855037,HA CONTRACT BS389110- FOR THE INSPECTION AND MAINTENANCE OF WATER BOOSTING EQUIPMENT,18/01/2017, 316.95 ,58, 5.46 ,
42-99 HOCKMORE TOWER,08866037,REMOVE THE DEAD LEG TO THE GROUND FLOOR PUMP ROOM MAIN BYPASS PIPE IS 54 MM DIAMETER X 80MM IN LENGTH,23/01/2017, 45.47 ,58, 0.78 ,
42-99 HOCKMORE TOWER,08868734,NTCO C/O NK - LEAK INTO SHOP - REF N.K.,22/01/2017, 138.24 ,58, 2.38 ,
42-99 HOCKMORE TOWER,08873282,TO FIT STEEL SECURITY DOOR SET TO PUMP/PLANT ROOM - AS PER SPEC - ,26/01/2017," 2,849.62 ",58, 49.13 ,
42-99 HOCKMORE TOWER,08877503,RECTIFY LEAK IN SERVICE DUCT ON 4TH FLOOR,27/01/2017, 466.05 ,58, 8.04 ,
42-99 HOCKMORE TOWER,08878443,FIT BACK FLOW PROTECTION TO THE MAIN BRANCH OF THE SUPPRESSION SPRINKLER SYSTEMS  ACCESS IS IN THE BIN STORES ON THE GROUND FLOOR,27/01/2017, 134.25 ,58, 2.31 ,
42-99 HOCKMORE TOWER,08892968,REPLACE LOCK TO REAR LIFT MOTOR ROOM DOOR - LIFT IN THE BACK OF THE BLOCK,03/02/2017, 55.60 ,58, 0.96 ,
42-99 HOCKMORE TOWER,08956400,F/O - PLEASE ATTEND TO BLOCKED RUBBISH SHUTE AT 4TH FLOOR - REF SB.NTCO.,02/03/2017, 140.32 ,58, 2.42 ,
42-99 HOCKMORE TOWER,08970008,WATER BOILER REPLACED BUT ONLY COLD WATER COMING THROUGH  ,09/03/2017, 634.85 ,58, 10.95 ,
42-99 HOCKMORE TOWER,08970459,FAO C.TUTTY - SERVICE DUCT SERVING NO.64 - MODIFY WASTE  - REF SB,09/03/2017, 172.18 ,58, 2.97 ,
42-99 HOCKMORE TOWER,08971795,REPLACE MISSING GLASS FROM FIRE DOOR NEXT TO BIN AREA. REPORTED BY ESTATE OFFICER.,09/03/2017, 231.00 ,58, 3.98 ,
42-99 HOCKMORE TOWER,08996486,FAO WESTLAKE - ATTEND TO FELT AROUND RAIN WATER ROOF OUTLET SERVING FLAT NO.87 LEAKING DOWN OUTSIDE OF PIPE.,22/03/2017, 75.90 ,58, 1.31 ,
24-40 EVEN POUND WAY,08649274,REPORTED BYESTATE OFFICER - NO LIGHTS IN THE COMMUNAL AREAS ON 24-40 PLEASE ATTND - LIGHT BULBS CHANGED STILL NOT WORKING,17/10/2016, 116.00 ,9, 12.89 ,
6-17 POUND HOUSE,08458553," REPORTS SINK AND BATH SLOW TO DRAIN. ONGOING ISSUE, IN PAST WAS DUE TO EXTERNAL COMMUNAL DRAIN.  PLEASE CALL TO ARRANGE ACCESS TO FLAT IF REQUIRED. FRIDAY AFTERNOON WOULD BE BEST",06/07/2016, 60.89 ,12, 5.07 ,
6-17 POUND HOUSE,08568836,ELECTRICAL REMEDIAL WORKS TO COMMUNAL AREA,08/09/2016," 2,029.30 ",12, 169.11 ,
6-17 POUND HOUSE,08631275,"EARTH AND BONDING INSPECTION, SURVEY FOR ROUTES AND WILMOT DIXON DISCONNECTION OF POUND WAY LIGHTS FROM HOCKMORE TOWER",07/10/2016, 337.44 ,12, 28.12 ,
6-17 POUND HOUSE,08758547,PROLEC TO CARRY OUT REMEDIAL WORK AT POUND HOUSE - EARTHING AND BONDING,30/11/2016," 3,000.00 ",12, 250.00 ,
6-17 POUND HOUSE,08758592,PROLEC TO CARRY OUT REMEDIAL WORKS TO POUND HOUSE - ALTERATIONS TO POUND HOUSE LIGHTING,30/11/2016, 885.50 ,12, 73.79 ,
6-17 POUND HOUSE,08921013,"PLEASE ATTEND LOSS OF SERVICE FOR FREEVIEW CHANNELS. REPORTED BY FLAT 11, UNSURE IF NEIGHBOURS ARE EFFECTED.",16/02/2017, 432.88 ,12, 36.07 ,
31-36 JERICHO STREET,08364900,"FIRST FLOOR COMMUANL LIGHTNOT WORKING, LIGHT FITTING WELDED, WHOLE LIGHT BULB NEEDS REPLACE- ",13/05/2016, 234.03 ,6, 39.01 ,
31-36 JERICHO STREET,08581242,CARRY OUT EMERGENCY LIGHTING TO BLOCK ,14/09/2016," 1,500.00 ",6, 250.00 ,
